me.txt(774): 12-23 12:04:49.537 I/kernel  (  751): [ 1897.837488][wlan][751]priv_driver_set_wow_tcpport:(REQ WARN) argc is 4
me.txt(782): 12-23 12:04:49.538 I/kernel  (  751): [ 1897.838271][wlan][751]priv_driver_set_wow_tcpport:(REQ WARN) argc is 4
me.txt(790): 12-23 12:04:49.539 I/kernel  (  751): [ 1897.839128][wlan][751]priv_driver_set_wow_udpport:(REQ WARN) argc is 3
me.txt(798): 12-23 12:04:49.539 I/kernel  (  751): [ 1897.839458][wlan][751]priv_driver_set_wow_udpport:(REQ WARN) argc is 3
me.txt(802): 12-23 12:04:49.542 I/kernel  (  567): [ 1897.842123][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(803): 12-23 12:04:49.542 I/kernel  (  567): [ 1897.842128][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(804): 12-23 12:04:49.542 I/kernel  (  567): [ 1897.842133][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(805): 12-23 12:04:49.542 I/kernel  (  567): [ 1897.842138][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(808): 12-23 12:04:49.551 I/kernel  (  567): [ 1897.851290][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(812): 12-23 12:04:49.561 I/kernel  (  567): [ 1897.860885][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(813): 12-23 12:04:49.561 I/kernel  (  567): [ 1897.860890][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(814): 12-23 12:04:49.561 I/kernel  (  567): [ 1897.860895][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(815): 12-23 12:04:49.561 I/kernel  (  567): [ 1897.860898][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(818): 12-23 12:04:49.564 I/kernel  (  567): [ 1897.863891][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(819): 12-23 12:04:49.564 I/kernel  (  567): [ 1897.863896][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(820): 12-23 12:04:49.564 I/kernel  (  567): [ 1897.863900][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(821): 12-23 12:04:49.564 I/kernel  (  567): [ 1897.863904][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(826): 12-23 12:04:49.574 I/kernel  (  567): [ 1897.874085][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(827): 12-23 12:04:49.574 I/kernel  (  567): [ 1897.874091][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(828): 12-23 12:04:49.574 I/kernel  (  567): [ 1897.874095][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(829): 12-23 12:04:49.574 I/kernel  (  567): [ 1897.874099][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(839): 12-23 12:04:49.609 I/kernel  ( 7727): [ 1897.909139][wlan][7727]mtk_cfg80211_vendor_driver_memory_dump:(REQ INFO) LQ: Tx(rate:12010, total:0, Rty:66984309948416, fail:0, RTSF:0, ACKF:0), Rx(rate:12010, total:0, dup:0, error:0), Idle:0
me.txt(841): 12-23 12:04:49.625 I/kernel  (  567): [ 1897.925409][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(842): 12-23 12:04:49.625 I/kernel  (  567): [ 1897.925415][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(843): 12-23 12:04:49.625 I/kernel  (  567): [ 1897.925419][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(844): 12-23 12:04:49.625 I/kernel  (  567): [ 1897.925423][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(847): 12-23 12:04:49.630 I/kernel  (  567): [ 1897.929911][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(848): 12-23 12:04:49.630 I/kernel  (  567): [ 1897.929916][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(849): 12-23 12:04:49.630 I/kernel  (  567): [ 1897.929920][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(850): 12-23 12:04:49.630 I/kernel  (  567): [ 1897.929925][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(855): 12-23 12:04:49.643 I/kernel  (  567): [ 1897.943512][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(856): 12-23 12:04:49.643 I/kernel  (  567): [ 1897.943519][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(857): 12-23 12:04:49.643 I/kernel  (  567): [ 1897.943523][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(858): 12-23 12:04:49.644 I/kernel  (  567): [ 1897.943527][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(908): 12-23 12:04:50.063 I/kernel  (  567): [ 1898.363249][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(911): 12-23 12:04:50.067 I/kernel  (  567): [ 1898.366738][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(912): 12-23 12:04:50.067 I/kernel  (  567): [ 1898.366743][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(913): 12-23 12:04:50.067 I/kernel  (  567): [ 1898.366747][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(914): 12-23 12:04:50.067 I/kernel  (  567): [ 1898.366752][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(919): 12-23 12:04:50.075 I/kernel  (  567): [ 1898.375241][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(920): 12-23 12:04:50.075 I/kernel  (  567): [ 1898.375246][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(921): 12-23 12:04:50.075 I/kernel  (  567): [ 1898.375250][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(922): 12-23 12:04:50.075 I/kernel  (  567): [ 1898.375254][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(927): 12-23 12:04:50.093 I/kernel  (  567): [ 1898.392826][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(928): 12-23 12:04:50.093 I/kernel  (  567): [ 1898.392831][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(929): 12-23 12:04:50.093 I/kernel  (  567): [ 1898.392835][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(930): 12-23 12:04:50.093 I/kernel  (  567): [ 1898.392839][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(932): 12-23 12:04:50.097 I/kernel  (  567): [ 1898.396755][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(933): 12-23 12:04:50.097 I/kernel  (  567): [ 1898.396760][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(934): 12-23 12:04:50.097 I/kernel  (  567): [ 1898.396764][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(935): 12-23 12:04:50.097 I/kernel  (  567): [ 1898.396768][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(936): 12-23 12:04:50.098 I/kernel  (  493): [ 1898.397989][Panel Driver] Recive tconI2C error result[0] from pqu
me.txt(937): 12-23 12:04:50.098 I/kernel  (  493): [ 1898.398044][Backlight Driver] Recive bcm error result[0] from pqu
me.txt(950): 12-23 12:04:50.117 I/kernel  (  567): [ 1898.416729][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(951): 12-23 12:04:50.117 I/kernel  (  567): [ 1898.416734][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(952): 12-23 12:04:50.117 I/kernel  (  567): [ 1898.416738][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(953): 12-23 12:04:50.117 I/kernel  (  567): [ 1898.416742][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
